key,en,ar
SDN-942B11096066-658B38962047-X-6991651,Qaryat Na‘em,Qaryat Na‘em
SDN-942B3923818-658B10289929-X-7754581,Sari,سر
SDN-942B51960613-658B786718-X-372330,Ar Raffa,الرفّ
SDN-942B51960613-658B15786683-X-374656,Gubara,غأبر
SDN-942B51960613-658B786718-X-7026679,Um Dalalik,أم دللك
SDN-942B51960613-658B59992430-X-374163,Hammurab,همّرب
SDN-942B11858188-658B18597122-X-379451,Al Ḩalīmāb,الحليماب
SDN-942B11096066-658B16705481-X-6992695,Hillat al Farajen,Hillat al Farajen
SDN-942B53073919-658B44321525-X-369768,Muhaydat ash Sharīf,مهيدة الشريف
SDN-942B51960613-658B22792001-X-377970,Ba‘āshīm,بعاشيم
SDN-942B53073919-658B51731802-X-367504,Sayyālah,سيّالة
SDN-942B6749338-658B87589856-X-375972,‘Eilai,علي
SDN-942B86275988-658B3195466-X-379285,El Kelba,الكلبة
SDN-942B69992162-658B61272609-X-377340,Birkah,بركة
SDN-942B69992162-658B61272609-X-377340,Birkah,بركة
SDN-942B93854462-658B84587935-X-8384920,Fayah,فية
SDN-942B2883900-658B27701575-X-379401,Al Ho,الهو
SDN-942B97861395-658B16224294-X-370019,Mīrī Barrā,ميري برّا
SDN-942B53073919-658B95748812-X-7028846,Ash Shirek,Ash Shirek
SDN-942B80268870-658B49744868-X-443901,Hilat et Tondob,Hilat et Tondob
SDN-942B51960613-658B22792001-X-7026586,Kambu Addabba,كمب أدّبّ
SDN-942B80268870-658B14038138-X-381019,Abu Ammar,أب أمّر
SDN-942B97861395-658B53081734-X-373628,‘Idd ed Dam,عدّ الدم
SDN-942B69992162-658B61272609-X-368731,Oreil,
SDN-942B53073919-658B95748812-X-7029122,Um Arkha,أم أرخ
SDN-942B97861395-658B95846491-X-368341,Girada,قرادة
SDN-942B69992162-658B74043765-X-369409,Namlī,نملي
SDN-942B3923818-658B10289929-X-369707,Muni,من
SDN-942B80268870-658B42379236-X-369495,Nagazu,نغأز
SDN-942B53073919-658B51731802-X-378357,Ash Shuḩayţah,الشحيطة
SDN-942B69992162-658B39799222-X-379205,Al Kurumusia,الكرمسأ
SDN-942B91082353-658B282942-X-381100,Abguana,أبغأأن
SDN-942B51960613-658B51623620-X-6991673,Hillat al Hireq,Hillat al Hireq
SDN-942B53073919-658B4455443-X-7029201,Aj Jibelāt,Aj Jibelāt
SDN-942B82453041-658B70441121-X-364874,Umm La‘ota,أمّ لعوت
SDN-942B51960613-658B15786683-X-377733,Qaryat Baghara,قرية بغر
SDN-942B53073919-658B95748812-X-373677,Ḩurrah,حرّة
SDN-942B69992162-658B39799222-X-378497,Ar Raddah,الردّة
SDN-942B93854462-658B86266976-X-373996,Hashaba,هشابة
SDN-942B1690804-658B72074541-X-373519,Irgie,
SDN-942B53073919-658B44321525-X-7504262,Al Khanfariyya,الخنفريّ
SDN-942B69992162-658B39799222-X-379604,Al Buḩayr,البحير
SDN-942B80268870-658B14038138-X-444143,Al Gowez,Al Gowez
SDN-942B80268870-658B30942172-X-375907,El ‘Egula,El `Egula
SDN-942B51960613-658B21018606-X-373863,Heraiz al Ja‘līyīn,Heraiz al Ja`liyin;Heraiz el Ga‘aliyin;Heraiz el Ga`aliyin
SDN-942B97552203-658B36248286-X-367442,Serambe,سرمب
SDN-942B53073919-658B51731802-X-6991874,Hillat al Faki Basher,Hillat al Faki Basher
SDN-942B3923818-658B75219108-X-8392210,Segargarri,
SDN-942B89754425-658B15430296-X-366521,Tahamyam,تهميم
SDN-942B53073919-658B51731802-X-7026063,Ad Dibeba,Ad Dibeba
SDN-942B93854462-658B23094141-X-365145,Umm Dukhn,أمّ دخن
SDN-942B6749338-658B55920549-X-370188,Melegab,
SDN-942B11096066-658B55709038-X-6992263,Hillat ad Dalo,هلّة الدلو
SDN-942B11096066-658B86367930-X-372460,El Khuleila,خليلة
SDN-942B80268870-658B49744868-X-7023617,Gasr el Hineka,Gasr el Hineka
SDN-942B97861395-658B16224294-X-7001937,Hillat Awlād Tibēg,Hillat Awlād Tibēg
SDN-942B11858188-658B75044057-X-372797,Karnekeila,
SDN-942B90817386-658B3360231-X-374272,New Halfa,حلفا الجديدة
SDN-942B91082353-658B282942-X-380664,Abungoro,أبنغورو
SDN-942B91082353-658B282942-X-380044,‘Agab,عغأب
SDN-942B86275988-658B92579016-X-374549,Gurr Tobak,غأرّ توبك
SDN-942B11858188-658B23760782-X-364286,Wad al Halengi,Wad el Halengi;Wad el Helengi
SDN-942B51960613-658B15336674-X-7026699,Al Ḩiwewa,Al Ḩiwewa
SDN-942B11096066-658B16705481-X-6991932,Hillat Umm Owena,Hillat Umm Owena
SDN-942B1690804-658B26042026-X-379405,Al Ḩillah,الحلّة
SDN-942B11096066-658B61474799-X-364128,Wādī Sayyidnā,وادي سيّدنا
SDN-942B80268870-658B14038138-X-444129,El Mosayab Foq,El Mosayab Foq
SDN-942B80268870-658B49744868-X-443893,Qandato,قندتو
SDN-942B80268870-658B49744868-X-443893,Qandato,قندتو
SDN-942B97861395-658B5321418-X-434445,Al Kiwēk,Al Kiwek;El Kuik
SDN-942B51960613-658B15786683-X-364293,Hillat Wad al Habel,ود الهبيل
SDN-942B86275988-658B7364354-X-368276,Rabatet,
SDN-942B69992162-658B74043765-X-7029055,Ṣiwema,Ṣiwema
SDN-942B69992162-658B37698204-X-379084,Al Murrah,المرّة
SDN-942B80268870-658B42379236-X-7465424,El Khor & Nagazu,
SDN-942B6749338-658B87167729-X-367456,Semna East,Semna
SDN-942B93854462-658B84587935-X-8384915,Habilaya,هبلي
SDN-942B90817386-658B67889192-X-367344,Shallāl,شلّال
SDN-942B97861395-658B53081734-X-365227,Umm Bateih,أم بطيخ
SDN-942B97861395-658B17388764-X-366176,Tendila,
SDN-942B6749338-658B2878490-X-375831,El ‘Urdi,El `Urdi
SDN-942B6749338-658B87167729-X-374804,Ginis East,Ginnis East
SDN-942B6749338-658B2878490-X-379233,Al Koin,السير
SDN-942B3923818-658B10289929-X-376824,Dali,دل
SDN-942B97861395-658B26539632-X-366239,Teiru,
SDN-942B53073919-658B95748812-X-379905,Efish,أفس
SDN-942B93854462-658B23094141-X-369732,Mulkajji,ملكجّ
SDN-942B69992162-658B37698204-X-367232,Sharshār,شرشار
SDN-942B69992162-658B5492704-X-379164,Al Mafrī,المفري
SDN-942B69992162-658B61272609-X-379086,Al Muraykib,المريكب
SDN-942B53073919-658B95748812-X-7029246,Um Qumri,أم قمر
SDN-942B93854462-658B86266976-X-371891,Kunjuldi,
SDN-942B51960613-658B15786683-X-7026248,Wad Haja,ود هج
SDN-942B86275988-658B58223905-X-8047335,Ghabina,غبن
SDN-942B53073919-658B51731802-X-7026335,Al Bideriyya,Al Bideriyya
SDN-942B80268870-658B60481889-X-443932,Wadi Khalel,Wadi Khalel
SDN-942B53073919-658B51731802-X-7026366,Shekh ‘Ali,Shekh ‘Ali
SDN-942B51960613-658B22792001-X-7026623,Kambu,كمب
SDN-942B80268870-658B49244776-X-372634,Kelesaikal,
SDN-942B51960613-658B59992430-X-377223,Borida,بورد
SDN-942B91082353-658B282942-X-378565,Arbodi,أربود
SDN-942B51960613-658B51623620-X-371545,La‘ota,لعوت
SDN-942B53073919-658B31729364-X-7018740,Aj Jimeliyya,Aj Jimeliyya
SDN-942B11096066-658B61474799-X-444007,Ab Shambala,أب شمبل
SDN-942B11096066-658B55709038-X-368282,Al Qowez,قويز
SDN-942B2883900-658B27701575-X-379146,Al Manāşirah,المناصرة
SDN-942B53073919-658B51731802-X-371546,La‘ota,لعوت
SDN-942B97552203-658B68839994-X-372364,Kirkir,كركر
SDN-942B97861395-658B72272794-X-366632,Suri,سر
SDN-942B93854462-658B23094141-X-374780,Girleli,
SDN-942B80268870-658B49744868-X-443956,Hillat esh Sharbab,Hillat esh Sharbab
SDN-942B3923818-658B20729209-X-373213,Kabar,كبر
SDN-942B3923818-658B20729209-X-373213,Kabar,كبر
SDN-942B3923818-658B20729209-X-373213,Kabar,كبر
SDN-942B1690804-658B94495956-X-364022,Wāḩat an Nukhaylah,واحة النخيلة
SDN-942B1690804-658B94495956-X-377788,Bandarbi,بندرب
SDN-942B51960613-658B51623620-X-375699,Arak al Katib,أرك الكتب
SDN-942B53073919-658B13785953-X-373835,Ḩillat ‘Abbās,حلّة عبّاس
SDN-942B91082353-658B74850080-X-366300,Ţayyibat Jabrīn,طيّبة جبرين
SDN-942B6749338-658B2878490-X-369595,Mushu,مشو
SDN-942B86275988-658B92579016-X-364418,Uraydimah,أريدمة
SDN-942B6749338-658B2878490-X-376630,Debtod,
SDN-942B86275988-658B58223905-X-368165,Ma’ad Ras el Marfaín,رأس المرفعين
SDN-942B51960613-658B15786683-X-7026187,Anjadu,انجضو
SDN-942B80268870-658B42379236-X-364232,Wad esh Sheikh,ود الشيخ
SDN-942B11096066-658B16705481-X-378150,Hillat at Tires,Hillat at Tires;Et Tireis
SDN-942B51960613-658B786718-X-7026408,Ab‘iref,Ab‘iref
SDN-942B11096066-658B86367930-X-444031,Hillat ed Dareisa,Hillat ed Dareisa
SDN-942B97861395-658B34195442-X-6979516,Sallara,سلّر
SDN-942B97552203-658B7044114-X-379077,Al Musein,El Musein
SDN-942B3923818-658B75219108-X-8384716,Gausir,غأسر
SDN-942B51960613-658B51623620-X-6991681,Hillat Ash Shidar,هلّة الشدر
SDN-942B11096066-658B61474799-X-374432,Hadaliya,هدلي
SDN-942B80268870-658B30942172-X-365085,Umm Ghafur,أمّ غفر
SDN-942B6749338-658B2878490-X-370482,Marawarti,مرورت
SDN-942B97861395-658B29973886-X-367441,Serariya,
SDN-942B86275988-658B16334046-X-364361,Uyer,
SDN-942B97861395-658B73116180-X-7029652,Anabir,أنبر
SDN-942B51960613-658B15786683-X-380615,Abū Qūţah,أبو قوطة
SDN-942B2883900-658B55313236-X-367640,Sanţat Şaqr,سنطة صقر
SDN-942B97552203-658B471537-X-378930,‘Amārah,عمارة
SDN-942B1690804-658B80869572-X-374795,Girbu,غإرب
SDN-942B11858188-658B25244734-X-378227,Ateina,
SDN-942B11096066-658B16705481-X-369809,Hillat al Moqdab,هلّة الموقدب
SDN-942B97861395-658B17388764-X-8539894,Tendilla,
SDN-942B53073919-658B95748812-X-7029260,Ad Dabba,الدبّ
SDN-942B97552203-658B471537-X-367599,Sarārīyah,سراريّة
SDN-942B53073919-658B4455443-X-7029203,Al Mikhekhīt,Al Mikhekhīt
SDN-942B1690804-658B28872194-X-373465,Jabal Dor,جبل دور
SDN-942B51960613-658B15786683-X-7026276,Shubra,شبر
SDN-942B80268870-658B49744868-X-373881,Hegeina,
SDN-942B97861395-658B15644153-X-7029437,Al Qardōd,Al Qardōd
SDN-942B1690804-658B49492240-X-371749,Kutayrāyah,كتيراية
SDN-942B97861395-658B26539632-X-366472,Tallo,تلّو
SDN-942B93854462-658B86266976-X-377335,Birkat Ţayr,بركة طير
SDN-942B97552203-658B90411134-X-379755,Al ‘Abdīyah,العبديّة
SDN-942B51960613-658B15786683-X-7026181,Taftish Wad Ḩabbōba,Taftish Wad Ḩabbōba
SDN-942B11096066-658B86367930-X-6992448,Gummuiya,غأمّإي
SDN-942B51960613-658B77015060-X-364310,Wad al Ageil,Wad el Ageil
SDN-942B53073919-658B51731802-X-6991902,Hillat Wad Ased,Hillat Wad Ased
SDN-942B53073919-658B51731802-X-364272,Hillat Domor al Kirer,Hillat Domor al Kirer;Wad el Kereil
SDN-942B6749338-658B2878490-X-366785,Sortot,سورتوت
SDN-942B93854462-658B86266976-X-366665,Sune,
SDN-942B80268870-658B42379236-X-444116,Banat,بنت
SDN-942B80268870-658B49244776-X-377983,Az Zuwayrah,الزويرة
SDN-942B53073919-658B31729364-X-7026333,Awlād Silemān,Awlād Silemān
SDN-942B2883900-658B84828509-X-369611,Musallamīyah,مسلّميّة
SDN-942B86275988-658B42232983-X-378281,As Su‘ayfah,السعيفة
SDN-942B97861395-658B65612712-X-373176,Kachama,
SDN-942B80268870-658B42379236-X-374860,Ei Qobosh,الغبش
SDN-942B69992162-658B39799222-X-364083,Wad Qaranful,ود قرنفل
SDN-942B2883900-658B84828509-X-376649,Dayyānah,ديّانة
SDN-942B53073919-658B51731802-X-7026336,As Sireḩa,As Sireḩa
SDN-942B80268870-658B60481889-X-367732,Salawa,سلو
SDN-942B80268870-658B60481889-X-367732,Salawa,Ar Kaweit Salawa
SDN-942B97861395-658B5321418-X-7001927,Hillat Addarōt,Hillat Addarōt
SDN-942B97861395-658B5321418-X-7002011,Jōghanāy,Jōghanāy
SDN-942B11096066-658B38962047-X-367179,Shaykh ‘Abd al Qādir,شيخ عبد القادر
SDN-942B53073919-658B95748812-X-7029049,Um Kadankawa,أم كدنكو
SDN-942B51960613-658B15786683-X-7026252,Ad Dem,Ad Dem
SDN-942B3923818-658B75219108-X-8384708,Gosir,غوسر
SDN-942B51960613-658B15786683-X-6983231,Al Mi‘ejna Ali Khōjali,Al Mi‘ejna Ali Khōjali
SDN-942B86275988-658B42232983-X-381024,Abū al Faḩl,أبو الفحل
SDN-942B86275988-658B58223905-X-373271,Jumaymīz,جميميز
SDN-942B93854462-658B79993469-X-377355,Bireigo,برغأ
SDN-942B90817386-658B40295097-X-365797,Tomat,تومت
SDN-942B90817386-658B40295097-X-365797,Tomat,
SDN-942B51960613-658B15336674-X-7026424,Maḩammad Zēn,Maḩammad Zēn
SDN-942B80268870-658B49244776-X-375752,Es Sihan,
SDN-942B97861395-658B90615655-X-7031462,An Nuqta,النقت
SDN-942B2883900-658B65143818-X-379532,Al Fonj,الفونج
SDN-942B86275988-658B42232983-X-366693,Şulb al Bunayyah,صلب البنيّة
SDN-942B51960613-658B59992430-X-7026200,Wad Al Asha,ود الأش
SDN-942B69992162-658B61272609-X-379365,Al Ibnoia,الإبنوأ
SDN-942B93854462-658B84587935-X-380881,Abu Guja,أب غأج
SDN-942B11096066-658B55709038-X-366959,Ash Shirek,شريك
SDN-942B91082353-658B69021719-X-372976,Kambal,كمبل
SDN-942B69992162-658B74043765-X-7028957,Ad Diresāt,Ad Diresāt
SDN-942B1690804-658B45814631-X-372716,Katkog,كتكوغ
SDN-942B51960613-658B77015060-X-378919,‘Amārat an Nefeidiya,`Amarat an Nefeidiya;‘Amarat en Nefeidiya;`Amarat en Nefeidiya
SDN-942B80268870-658B49744868-X-370090,Mideini,
SDN-942B80268870-658B49244776-X-379529,Al Fuqarā’,الفقراء
SDN-942B3923818-658B61371907-X-370051,Mindo,مندو
SDN-942B86275988-658B39523457-X-373626,‘Idd al Ghanam,عدّ الغنم
SDN-942B91082353-658B75701613-X-379642,El Barun,البرن
SDN-942B86275988-658B98104956-X-365149,Umm Dugulgulai,أمّ دغألغألإ
SDN-942B51960613-658B15786683-X-6983204,Al Qifela,Al Qifela
SDN-942B97861395-658B72272794-X-369165,Nīlat Sulaymān,نيلة سليمان
SDN-942B3923818-658B75219108-X-8390227,Tauranga,
SDN-942B91082353-658B69021719-X-370400,Masamoagha,مسموغ
SDN-942B1690804-658B26042026-X-367552,Satiya,ستي
SDN-942B97861395-658B99970676-X-370055,Minbanb,منبنب
SDN-942B11858188-658B18597122-X-363867,Weheshat,
SDN-942B1690804-658B72074541-X-371734,Kuwayn,كوين
SDN-942B51960613-658B15336674-X-368370,Qudaydīm,قديديم
SDN-942B69992162-658B39799222-X-365272,Umm Baynīyah,أمّ بينيّة
SDN-942B97861395-658B72272794-X-372239,Kolobo,كولوبو
SDN-942B53073919-658B95748812-X-7029107,Um ’Ajghem,Um ’Ajghem
SDN-942B97861395-658B91404659-X-6979593,Hillat Dukinj,هلّة دكنج
SDN-942B1690804-658B90950158-X-371353,Lobbodo,لوبّودو
SDN-942B51960613-658B15336674-X-364246,Wad an Nūr,ود النور
SDN-942B11858188-658B54409955-X-380632,Abū Qulūt,أبو قلوت
SDN-942B3923818-658B23361016-X-377828,Ballah,بلّة
SDN-942B97861395-658B26539632-X-376578,Deldum,
SDN-942B86275988-658B7364354-X-8148694,Goerin,
SDN-942B69992162-658B61272609-X-377217,Boteh,
SDN-942B93854462-658B34022269-X-376129,Dumta,
SDN-942B69992162-658B39799222-X-364670,Umm Sarba,أمّ سرب
SDN-942B69992162-658B74043765-X-365119,Umm Fashachti,
SDN-942B51960613-658B51623620-X-7026125,Ar Rayḩana Itnen,Ar Rayḩana Itnen
SDN-942B69992162-658B37698204-X-366939,Shuwayb,شويب
SDN-942B53073919-658B31729364-X-7026355,Al ‘Imeriyya,Al ‘Imeriyya
SDN-942B51960613-658B15786683-X-374853,Ghunaywāb,غنيواب
SDN-942B80268870-658B60481889-X-443925,Ed Diheshab,Ed Diheshab
SDN-942B51960613-658B786718-X-364412,Iretil,أريتل
SDN-942B97552203-658B471537-X-365061,Umm Habīlah,أمّ هبيلة
SDN-942B3923818-658B61371907-X-375083,Garsila,غأرسل
SDN-942B51960613-658B15786683-X-7026253,Qubbat Ash Shekh Ţaha,Qubbat Ash Shekh Ţaha
SDN-942B51960613-658B15786683-X-364267,Wad al Labīb,ود اللبيب
SDN-942B6749338-658B86158910-X-380928,Abū Fāţimah,أبو فاطمة
SDN-942B97552203-658B471537-X-372380,Kinyeir,
SDN-942B97861395-658B26539632-X-376137,Dumbalo,دمبلو
SDN-942B97861395-658B95846491-X-373299,Jubeilat,جبيلات
SDN-942B80268870-658B14038138-X-444140,Al Gilei Awlad Nafi,Al Gilei Awlad Nafi
SDN-942B97552203-658B38442198-X-373709,Ḩumayr,حمير
SDN-942B97552203-658B90411134-X-372387,Kinānah,كنانة
SDN-942B93854462-658B54406774-X-8385476,Hagaru,هغأر
SDN-942B6749338-658B69605626-X-374963,Gerf El Melik,
SDN-942B69992162-658B74043765-X-7028971,Ar Rijela,Ar Rijela
SDN-942B1690804-658B26313129-X-370016,Miriud,مرأد
SDN-942B3923818-658B20729209-X-369565,Mutur,متر
SDN-942B80268870-658B49244776-X-369510,Nadi,ند
SDN-942B86275988-658B15910067-X-377829,Ballah,بلّة
SDN-942B97861395-658B65612712-X-379177,Alleira Kuta,
SDN-942B80268870-658B14038138-X-444123,El Hilla El Jadeda,El Hilla El Jadeda
SDN-942B97552203-658B38442198-X-380986,Abū Ḑabārah,أبو ضبارة
SDN-942B51960613-658B786718-X-7026510,Wad Sider,Wad Sider
SDN-942B88867350-658B88867350-X-380308,Abyei,أبيي
SDN-942B53073919-658B51731802-X-379408,Al Hebeika,El Hebeik;El Hebeika
SDN-942B11096066-658B86367930-X-376093,Durayshāb,دريشاب
SDN-942B91082353-658B75701613-X-7029747,Jammām,جمّام
SDN-942B53073919-658B47689734-X-7028919,Ifeţis,Ifeţis
SDN-942B86275988-658B7364354-X-8148523,Umm Gellakamei,
SDN-942B2883900-658B65201614-X-364490,Umm ‘Ushūsh,أمّ عشوش
SDN-942B97861395-658B26539632-X-365614,Tumria,تمرأ
SDN-942B86275988-658B65348086-X-375376,Fidi,فد
SDN-942B86275988-658B65348086-X-375376,Fidi,
SDN-942B86275988-658B65348086-X-370441,Markundi,مركند
SDN-942B51960613-658B21018606-X-369356,Nasīm al Jannah,نسيم الجنّة
SDN-942B1690804-658B73360873-X-364143,Wad Hassib,ود هسّب
SDN-942B93854462-658B84587935-X-380580,Abu Rumeil,أبو رميل
SDN-942B97552203-658B36248286-X-371381,Lingu,لنغأ
SDN-942B11858188-658B23760782-X-364179,Wad Ḑayyif,ود ضيّف
SDN-942B93854462-658B34022269-X-367136,Shebet Ardu,
SDN-942B51960613-658B51623620-X-7026203,Um Sidera,Um Sidera
SDN-942B6749338-658B2878490-X-376873,Dagarti,دقرتي
SDN-942B3923818-658B4724147-X-7041558,Laagi,لأغإ
SDN-942B6749338-658B87167729-X-376050,Duweishat East,
SDN-942B69992162-658B74043765-X-378995,Al Uḑayyāt,الأضيّات
SDN-942B86275988-658B34506299-X-7041523,Nyama,نيم
SDN-942B3923818-658B20729209-X-367730,Sali,سل
SDN-942B51960613-658B15336674-X-366504,Takalat Mirghani,تكلة مرغن
SDN-942B93854462-658B86266976-X-8388161,Waiwai,
SDN-942B91082353-658B282942-X-371827,Kurmuk,
SDN-942B51960613-658B77015060-X-368274,Rabda,ربد
SDN-942B53073919-658B4455443-X-7029215,At Tabaldiyya,التبلديّ
SDN-942B2883900-658B65201614-X-365180,Umm Deheir ‘Arid,Umm Deheir `Arid
SDN-942B97552203-658B78689508-X-369693,Muqaddimah,مقدّمة
SDN-942B80268870-658B14038138-X-7024229,Hillat Umm Shadieda,Hillat Umm Shadieda
SDN-942B3923818-658B4724147-X-7049159,Kurgi,كرغإ
SDN-942B53073919-658B21898088-X-374870,Ghomera,
SDN-942B97861395-658B48438192-X-364584,Umm Sikkina,أمّ سكّينة
SDN-942B11858188-658B18597122-X-374999,Geliem,
SDN-942B2883900-658B61672055-X-7029357,Lawni,لون
SDN-942B3923818-658B75219108-X-8384707,Suni,سن
SDN-942B80268870-658B42379236-X-379051,Al Qawl,القول
SDN-942B93854462-658B54406774-X-371106,Lubana,لبانة
SDN-942B91082353-658B282942-X-381167,‘Abd el Farrag,عبد الفرّاج
SDN-942B82453041-658B19894577-X-380902,Abū Gheid,Abu Gheid
SDN-942B97861395-658B99970676-X-7029544,Ad Dighena,Ad Dighena
SDN-942B97861395-658B53081734-X-8066906,Umm Salman,أمّ سلمن
SDN-942B86275988-658B26102505-X-373302,Juba,جب
SDN-942B11096066-658B86367930-X-378698,Hillat en Nikhela,النخيلة
SDN-942B80268870-658B14038138-X-444139,Al Fahada,الفهد
SDN-942B3923818-658B10289929-X-7755209,Daldi,دلد
SDN-942B53073919-658B95748812-X-376910,Dabra,دبر
SDN-942B90817386-658B6286402-X-7024509,Hillat al Ilew,Hillat al Ilew
SDN-942B51960613-658B15786683-X-6983200,Al Kimer,Al Kimer
SDN-942B69992162-658B83593835-X-378952,El Wuz,الوزّ
SDN-942B80268870-658B49744868-X-443945,Hillat Tartor,هلّة ترتور
SDN-942B93854462-658B34022269-X-380486,Abu Shugeira,Abu Shugeira
SDN-942B51960613-658B786718-X-364327,Wad Ab Hajab,ود أب هجب
SDN-942B51960613-658B51623620-X-370877,Mahareiba Shotalab,
SDN-942B80268870-658B42379236-X-373964,Hassa,هسّ
SDN-942B93854462-658B86266976-X-375779,Erigi,
SDN-942B97861395-658B65612712-X-379621,Al Biri,البر
SDN-942B11096066-658B16705481-X-6991940,Hillat Yoya,هلّة يوي
SDN-942B82453041-658B49381066-X-8613026,Buta,بت
SDN-942B51960613-658B15336674-X-366979,Ash Shilekha,شليخة
SDN-942B51960613-658B59992430-X-377814,Balūlah,بلولة
SDN-942B53073919-658B21898088-X-364870,Umm Leweiwisa,Umm Leveiwisa
SDN-942B86275988-658B34506299-X-7041095,Fergulli,
SDN-942B88867350-658B88867350-X-7663453,Mobil,موبل
SDN-942B51960613-658B59992430-X-7026178,Kambu,كمب
SDN-942B11096066-658B55709038-X-6992234,Farig al Garahab,فرغ الغأرهب
SDN-942B6749338-658B69605626-X-364411,Urbi,اوربي
SDN-942B69992162-658B75251993-X-377911,Bagera,
SDN-942B69992162-658B75251993-X-377911,Bagera,
SDN-942B69992162-658B75251993-X-378676,Antatai,أنتتإ
SDN-942B53073919-658B4455443-X-380137,Ad Dubaykir,الدبيكر
SDN-942B97861395-658B72272794-X-366546,Tagelbo,تجلبو
SDN-942B11858188-658B98733817-X-368155,Rashid,رشد
SDN-942B11858188-658B96645241-X-7029408,Hanā Shitef,Hanā Shitef
SDN-942B97861395-658B65612712-X-7031448,Erey,Erey
SDN-942B3923818-658B10289929-X-372168,Korare,كورور
SDN-942B3923818-658B82603768-X-378452,Artala,أرتل
SDN-942B97861395-658B73116180-X-7029696,Hillat as Sanjak,هلّة السنجك
SDN-942B97861395-658B73116180-X-7029696,Hillat as Sanjak,هلّة السنجك
SDN-942B2883900-658B84828509-X-379009,Al Quwayzāt,القويزات
SDN-942B1690804-658B73360873-X-380453,Abū Sufyān,أبو سفيان
SDN-942B51960613-658B77015060-X-374015,Ḩasan al Ghazālī,حسن الغزالي
SDN-942B11858188-658B98733817-X-373689,Ḩumrah,حمرة
SDN-942B2883900-658B65201614-X-368362,Qulaydāt,قليدات
SDN-942B6749338-658B87167729-X-369632,Murshid East,مرشد
SDN-942B93854462-658B86266976-X-374976,Geragerab,
SDN-942B1690804-658B73360873-X-367886,Sa‘at,سعت
SDN-942B91082353-658B69021719-X-369101,Nudoqay,ندوقي
SDN-942B80268870-658B42379236-X-377690,Berber,بربر
SDN-942B97861395-658B39263773-X-368312,Qurdūd,قردود
SDN-942B51960613-658B15786683-X-378958,Al Wali,الول
SDN-942B6749338-658B87589856-X-371932,Kulud,كلد
SDN-942B1690804-658B28872194-X-367514,Sayyāḩ,سيّاح
SDN-942B69992162-658B37119158-X-369784,Muḩammad ‘Alī,محمّد علي
SDN-942B86275988-658B92579016-X-371806,Kurru,كرّ
SDN-942B86275988-658B92579016-X-371806,Kurru,
SDN-942B93854462-658B64088994-X-369136,Njelanga,
SDN-942B69992162-658B74043765-X-7028952,Kondowat Um Zoqi,كوندووة أم زوق
SDN-942B53073919-658B95748812-X-7029120,Miref‘īna,Miref‘īna
SDN-942B11096066-658B55709038-X-6992285,Farig Wlad Khalid Wad Ibrahim,فرغ ولد خلد ود إبرهم
SDN-942B1690804-658B26313129-X-373419,Ja‘l,جعل
SDN-942B11858188-658B18597122-X-367106,Shemeliab,
SDN-942B53073919-658B51731802-X-6991906,Qaryat al Montazah,قرية المونتزة
SDN-942B3923818-658B61371907-X-376147,Dulgo,دلغو
SDN-942B89754425-658B47875980-X-373862,Herbagat,
SDN-942B53073919-658B41183340-X-363519,Zannūbah,زنّوبة
SDN-942B11096066-658B86367930-X-6992452,Abu Fatwa,أب فتو
SDN-942B80268870-658B49744868-X-443894,Ed Dowyab,Ed Dowyab
SDN-942B91082353-658B75701613-X-7029742,Qumur,قمر
SDN-942B88867350-658B88867350-X-377667,Bargnop,Vargnol
SDN-942B1690804-658B84287182-X-7751865,Keira,
SDN-942B2883900-658B84828509-X-367246,Sharīf,شريف
SDN-942B51960613-658B15336674-X-364053,Wad Shawir,ود شور
SDN-942B80268870-658B49744868-X-7023582,Al Meja,Al Meja
SDN-942B1690804-658B80869572-X-374565,Gurbi,غأرب
SDN-942B80268870-658B60481889-X-379010,Al Quwayz,القويز
SDN-942B11858188-658B98733817-X-364110,Wad Kusaybah,ود كسيبة
SDN-942B97861395-658B91404659-X-6979552,Suwaqnu,سوقن
SDN-942B11858188-658B82752604-X-376664,Daym Bakr,ديم بكر
SDN-942B51960613-658B15786683-X-367259,Sharafat,شرفت
SDN-942B97861395-658B73116180-X-7029673,Saljam,سلجم
SDN-942B69992162-658B75251993-X-375502,Farajāb,فرجاب
SDN-942B51960613-658B22792001-X-7026376,Al Miţemra,Al Miţemra
SDN-942B93854462-658B64088994-X-8385297,Heyinga,
SDN-942B51960613-658B15786683-X-6983284,Um Turba,أم ترب
SDN-942B97861395-658B99970676-X-379289,El Kedada,الكدادة
SDN-942B51960613-658B15786683-X-375294,Al Ferejab Rajab,Al Ferejab Rajab;Fureigib
SDN-942B97861395-658B15644153-X-7029477,Billiyya,بلّيّ
SDN-942B69992162-658B37698204-X-378471,Ar Rubshān,الربشان
SDN-942B91082353-658B90307628-X-380011,Aggar,أغغأر
SDN-942B93854462-658B67199928-X-8385612,Gubei,
SDN-942B69992162-658B37698204-X-369107,Nubdhah,نبذة
SDN-942B2883900-658B61672055-X-7029323,Takala Khamsa,تكل خمس
SDN-942B11858188-658B75044057-X-373903,Hayafa,هيف
SDN-942B2883900-658B68656306-X-7029290,Ath Thawra,الثور
SDN-942B89754425-658B55155001-X-6983590,Aqitay,أقتي
SDN-942B51960613-658B77015060-X-364883,Umm Kutayrah,أمّ كتيرة
